Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
MMM,186.03,114.04,189.63,3232604.0,2691181.0,109728000000.0,20.48,9.25,Overvalued
ABT,117.19,61.61,128.54,4044983.0,4985537.0,209218000000.0,47.18,2.5,Undervalued
ABBV,108.67,62.55,113.41,6558661.0,7065142.0,194706000000.0,40.54,2.72,Overvalued
ABMD,300.85,119.01,387.4,201326.0,345525.0,13894000000.0,70.02,4.39,Undervalued
ACN,263.69,137.15,271.18,2291210.0,2044428.0,176034000000.0,32.77,8.12,Overvalued
ATVI,92.87,50.51,104.53,3013327.0,5846123.0,71723000000.0,32.83,2.82,Undervalued
ADBE,444.4,255.13,536.88,2508699.0,2632633.0,214542000000.0,41.33,10.83,Undervalued
AMD,81.91,36.75,99.23,38096433.0,43073091.0,99934000000.0,39.97,2.06,Undervalued
AAP,179.06,71.33,181.85,961582.0,1057722.0,11905000000.0,25.45,7.14,Undervalued
AES,28.38,8.11,29.07,4336933.0,7089611.0,19041000000.0,445.31,0.06,Overvalued
AFL,51.84,23.07,52.23,2790127.0,3867179.0,35903000000.0,7.82,6.67,Undervalued
A,120.92,62.09,136.98,1226982.0,1761025.0,37795000000.0,47.76,2.6,Overvalued
APD,272.74,173.91,327.89,721518.0,1246989.0,60400000000.0,32.07,8.51,Overvalued
AKAM,98.61,81.8,124.91,1572655.0,2205313.0,16320000000.0,29.67,3.37,Undervalued
ALK,69.44,20.02,72.62,3690577.0,1867903.0,8942000000.0,,-10.73,Overvalued
ALB,156.08,48.89,188.35,678509.0,1976718.0,18525000000.0,45.12,3.52,Overvalued
ARE,163.47,109.22,179.79,846566.0,1030481.0,22735000000.0,27.67,6.01,Undervalued
ALXN,151.59,75.57,162.6,2367278.0,3017306.0,33456000000.000004,55.95,2.72,Undervalued
ALGN,551.09,127.88,634.46,733629.0,585757.0,44223000000.0,24.94,22.41,Undervalued
ALLE,116.52,77.37,121.33,1374101.0,703638.0,10718000000.0,34.85,3.39,Overvalued
LNT,51.32,37.66,58.1,3110787.0,1285745.0,13167000000.0,21.33,2.47,Overvalued
ALL,115.68,64.13,117.3,2110322.0,1886103.0,35518000000.0,6.77,17.31,Undervalued
GOOGL,2044.97,1008.87,2145.14,1310741.0,1811540.0,1389000000000.0,35.05,58.61,Overvalued
GOOG,2062.3,1013.54,2152.68,1298325.0,1605525.0,1389000000000.0,35.26,58.61,Overvalued
MO,49.07,30.95,49.95,11847049.0,8859828.0,92637000000.0,20.77,2.4,Overvalued
AMZN,3074.57,1689.24,3552.25,2918592.0,3737623.0,1552000000000.0,73.67,41.83,Undervalued
AMCR,11.65,5.82,12.4,7155036.0,5981171.0,18369000000.0,37.57,0.31,Overvalued
AEE,77.55,58.74,86.9,1596772.0,1703586.0,19969000000.0,22.52,3.5,Overvalued
AAL,24.55,8.25,25.94,94133688.0,58617933.0,16101000000.0,,-18.36,Overvalued
AEP,81.06,65.14,95.77,3209478.0,3153498.0,40865000000.0,18.62,4.42,Overvalued
AXP,148.04,67.0,151.46,2578977.0,3812288.0,118414000000.0,38.99,3.77,Overvalued
AIG,48.07,16.07,48.92,2994026.0,4794705.0,41804000000.0,,-6.88,Overvalued
AMT,215.7,174.32,272.2,1849147.0,2315861.0,97093000000.0,57.65,3.79,Overvalued
AWK,139.5,92.0,172.56,1262290.0,1050289.0,25458000000.0,35.88,3.91,Overvalued
AMP,226.13,80.01,233.91,935603.0,698418.0,26635000000.0,18.7,12.2,Overvalued
ABC,113.14,72.06,114.01,659347.0,1202418.0,23308000000.0,,-15.76,Overvalued
AME,121.29,54.82,125.81,1096664.0,964289.0,28309000000.0,32.57,3.77,Overvalued
AMGN,230.0,177.05,276.69,2911063.0,2547061.0,136282000000.00002,19.17,12.31,Undervalued
APH,64.09,31.52,69.1,2514812.0,2726113.0,39454000000.0,33.68,1.96,Overvalued
ADI,149.62,79.08,164.4,2113191.0,2884023.0,55703000000.0,40.04,3.77,Overvalued
ANSS,314.77,203.71,413.19,442446.0,492367.0,28256000000.0,65.54,4.97,Overvalued
ANTM,343.14,171.03,344.28,1366322.0,1282698.0,83956000000.0,19.07,17.98,Undervalued
